siat_code,district_name,year,population_thousand,population_people,geography_break_flag,geography_note,source_dataset,source_url
1726264,Bektemir district,2022,48.9,48900,False,The 2021 Yangikhayot reorganization changed district and city footprints; territory also came from Tashkent Region. Do not interpret Yangikhayot's pre-2021 zeros as zero population or calculate ordinary 2020-2021 district growth.,246,https://siat.stat.uz/data/246/?lang=en
1726264,Bektemir district,2023,55.8,55800,False,The 2021 Yangikhayot reorganization changed district and city footprints; territory also came from Tashkent Region. Do not interpret Yangikhayot's pre-2021 zeros as zero population or calculate ordinary 2020-2021 district growth.,246,https://siat.stat.uz/data/246/?lang=en
1726264,Bektemir district,2024,60.5,60500,False,The 2021 Yangikhayot reorganization changed district and city footprints; territory also came from Tashkent Region. Do not interpret Yangikhayot's pre-2021 zeros as zero population or calculate ordinary 2020-2021 district growth.,246,https://siat.stat.uz/data/246/?lang=en
1726264,Bektemir district,2025,65.5,65500,False,The 2021 Yangikhayot reorganization changed district and city footprints; territory also came from Tashkent Region. Do not interpret Yangikhayot's pre-2021 zeros as zero population or calculate ordinary 2020-2021 district growth.,246,https://siat.stat.uz/data/246/?lang=en
1726264,Bektemir district,2026,71.3,71300,False,The 2021 Yangikhayot reorganization changed district and city footprints; territory also came from Tashkent Region. Do not interpret Yangikhayot's pre-2021 zeros as zero population or calculate ordinary 2020-2021 district growth.,246,https://siat.stat.uz/data/246/?lang=en
1726266,Yunusabad district,2015,312.8,312800,False,,246,https://siat.stat.uz/data/246/?lang=en
1726266,Yunusabad district,2016,315.6,315600,False,,246,https://siat.stat.uz/data/246/?lang=en
1726266,Yunusabad district,2017,319.8,319800,False,,246,https://siat.stat.uz/data/246/?lang=en
1726266,Yunusabad district,2018,325.0,325000,False,,246,https://siat.stat.uz/data/246/?lang=en
1726266,Yunusabad district,2019,330.2,330200,False,,246,https://siat.stat.uz/data/246/?lang=en
1726266,Yunusabad district,2020,340.1,340100,False,,246,https://siat.stat.uz/data/246/?lang=en
1726266,Yunusabad district,2021,352.0,352000,False,,246,https://siat.stat.uz/data/246/?lang=en
1726266,Yunusabad district,2022,359.0,359000,False,,246,https://siat.stat.uz/data/246/?lang=en
1726266,Yunusabad district,2023,367.0,367000,False,,246,https://siat.stat.uz/data/246/?lang=en
1726266,Yunusabad district,2024,376.1,376100,False,,246,https://siat.stat.uz/data/246/?lang=en
1726266,Yunusabad district,2025,385.2,385200,False,,246,https://siat.stat.uz/data/246/?lang=en
1726266,Yunusabad district,2026,393.0,393000,False,,246,https://siat.stat.uz/data/246/?lang=en
1726269,Mirzo Ulugbek district,2015,260.9,260900,False,,246,https://siat.stat.uz/data/246/?lang=en
1726269,Mirzo Ulugbek district,2016,262.2,262200,False,,246,https://siat.stat.uz/data/246/?lang=en
1726269,Mirzo Ulugbek district,2017,264.6,264600,False,,246,https://siat.stat.uz/data/246/?lang=en
1726269,Mirzo Ulugbek district,2018,267.6,267600,False,,246,https://siat.stat.uz/data/246/?lang=en
1726269,Mirzo Ulugbek district,2019,270.6,270600,False,,246,https://siat.stat.uz/data/246/?lang=en
1726269,Mirzo Ulugbek district,2020,275.5,275500,False,,246,https://siat.stat.uz/data/246/?lang=en
1726269,Mirzo Ulugbek district,2021,285.0,285000,False,,246,https://siat.stat.uz/data/246/?lang=en
1726269,Mirzo Ulugbek district,2022,310.1,310100,False,,246,https://siat.stat.uz/data/246/?lang=en
1726269,Mirzo Ulugbek district,2023,323.1,323100,False,,246,https://siat.stat.uz/data/246/?lang=en
1726269,Mirzo Ulugbek district,2024,331.2,331200,False,,246,https://siat.stat.uz/data/246/?lang=en
1726269,Mirzo Ulugbek district,2025,337.1,337100,False,,246,https://siat.stat.uz/data/246/?lang=en
1726269,Mirzo Ulugbek district,2026,342.2,342200,False,,246,https://siat.stat.uz/data/246/?lang=en
1726273,Mirabad district,2015,129.5,129500,False,,246,https://siat.stat.uz/data/246/?lang=en
1726273,Mirabad district,2016,130.6,130600,False,,246,https://siat.stat.uz/data/246/?lang=en
1726273,Mirabad district,2017,132.3,132300,False,,246,https://siat.stat.uz/data/246/?lang=en
1726273,Mirabad district,2018,134.5,134500,False,,246,https://siat.stat.uz/data/246/?lang=en
1726273,Mirabad district,2019,136.8,136800,False,,246,https://siat.stat.uz/data/246/?lang=en
1726273,Mirabad district,2020,138.0,138000,False,,246,https://siat.stat.uz/data/246/?lang=en
1726273,Mirabad district,2021,142.8,142800,False,,246,https://siat.stat.uz/data/246/?lang=en
1726273,Mirabad district,2022,145.9,145900,False,,246,https://siat.stat.uz/data/246/?lang=en
1726273,Mirabad district,2023,149.5,149500,False,,246,https://siat.stat.uz/data/246/?lang=en
1726273,Mirabad district,2024,152.2,152200,False,,246,https://siat.stat.uz/data/246/?lang=en
1726273,Mirabad district,2025,154.2,154200,False,,246,https://siat.stat.uz/data/246/?lang=en
1726273,Mirabad district,2026,156.5,156500,False,,246,https://siat.stat.uz/data/246/?lang=en
1726277,Shaykhantakhur district,2015,314.5,314500,False,,246,https://siat.stat.uz/data/246/?lang=en
1726277,Shaykhantakhur district,2016,319.4,319400,False,,246,https://siat.stat.uz/data/246/?lang=en
1726277,Shaykhantakhur district,2017,325.0,325000,False,,246,https://siat.stat.uz/data/246/?lang=en
1726277,Shaykhantakhur district,2018,330.0,330000,False,,246,https://siat.stat.uz/data/246/?lang=en
1726277,Shaykhantakhur district,2019,337.1,337100,False,,246,https://siat.stat.uz/data/246/?lang=en
1726277,Shaykhantakhur district,2020,340.7,340700,False,,246,https://siat.stat.uz/data/246/?lang=en
1726277,Shaykhantakhur district,2021,348.3,348300,False,,246,https://siat.stat.uz/data/246/?lang=en
1726277,Shaykhantakhur district,2022,354.5,354500,False,,246,https://siat.stat.uz/data/246/?lang=en
1726277,Shaykhantakhur district,2023,360.6,360600,False,,246,https://siat.stat.uz/data/246/?lang=en
1726277,Shaykhantakhur district,2024,365.4,365400,False,,246,https://siat.stat.uz/data/246/?lang=en
1726277,Shaykhantakhur district,2025,369.6,369600,False,,246,https://siat.stat.uz/data/246/?lang=en
1726277,Shaykhantakhur district,2026,373.7,373700,False,,246,https://siat.stat.uz/data/246/?lang=en
1726280,Almazar district,2015,337.4,337400,False,,246,https://siat.stat.uz/data/246/?lang=en
1726280,Almazar district,2016,341.8,341800,False,,246,https://siat.stat.uz/data/246/?lang=en
1726280,Almazar district,2017,347.2,347200,False,,246,https://siat.stat.uz/data/246/?lang=en
1726280,Almazar district,2018,352.7,352700,False,,246,https://siat.stat.uz/data/246/?lang=en
1726280,Almazar district,2019,358.7,358700,False,,246,https://siat.stat.uz/data/246/?lang=en
1726280,Almazar district,2020,365.4,365400,False,,246,https://siat.stat.uz/data/246/?lang=en
1726280,Almazar district,2021,377.1,377100,False,,246,https://siat.stat.uz/data/246/?lang=en
1726280,Almazar district,2022,385.5,385500,False,,246,https://siat.stat.uz/data/246/?lang=en
1726280,Almazar district,2023,395.1,395100,False,,246,https://siat.stat.uz/data/246/?lang=en
1726280,Almazar district,2024,404.4,404400,False,,246,https://siat.stat.uz/data/246/?lang=en
1726280,Almazar district,2025,412.0,412000,False,,246,https://siat.stat.uz/data/246/?lang=en
1726280,Almazar district,2026,418.3,418300,False,,246,https://siat.stat.uz/data/246/?lang=en
1726283,Sergeli district,2015,165.9,165900,False,The 2021 Yangikhayot reorganization changed district and city footprints; territory also came from Tashkent Region. Do not interpret Yangikhayot's pre-2021 zeros as zero population or calculate ordinary 2020-2021 district growth.,246,https://siat.stat.uz/data/246/?lang=en
1726283,Sergeli district,2016,168.2,168200,False,The 2021 Yangikhayot reorganization changed district and city footprints; territory also came from Tashkent Region. Do not interpret Yangikhayot's pre-2021 zeros as zero population or calculate ordinary 2020-2021 district growth.,246,https://siat.stat.uz/data/246/?lang=en
1726283,Sergeli district,2017,171.0,171000,False,The 2021 Yangikhayot reorganization changed district and city footprints; territory also came from Tashkent Region. Do not interpret Yangikhayot's pre-2021 zeros as zero population or calculate ordinary 2020-2021 district growth.,246,https://siat.stat.uz/data/246/?lang=en
1726283,Sergeli district,2018,175.8,175800,False,The 2021 Yangikhayot reorganization changed district and city footprints; territory also came from Tashkent Region. Do not interpret Yangikhayot's pre-2021 zeros as zero population or calculate ordinary 2020-2021 district growth.,246,https://siat.stat.uz/data/246/?lang=en
1726283,Sergeli district,2019,181.9,181900,False,The 2021 Yangikhayot reorganization changed district and city footprints; territory also came from Tashkent Region. Do not interpret Yangikhayot's pre-2021 zeros as zero population or calculate ordinary 2020-2021 district growth.,246,https://siat.stat.uz/data/246/?lang=en
1726283,Sergeli district,2020,195.8,195800,False,The 2021 Yangikhayot reorganization changed district and city footprints; territory also came from Tashkent Region. Do not interpret Yangikhayot's pre-2021 zeros as zero population or calculate ordinary 2020-2021 district growth.,246,https://siat.stat.uz/data/246/?lang=en
1726283,Sergeli district,2021,105.7,105700,True,The 2021 Yangikhayot reorganization changed district and city footprints; territory also came from Tashkent Region. Do not interpret Yangikhayot's pre-2021 zeros as zero population or calculate ordinary 2020-2021 district growth.,246,https://siat.stat.uz/data/246/?lang=en
1726283,Sergeli district,2022,138.2,138200,False,The 2021 Yangikhayot reorganization changed district and city footprints; territory also came from Tashkent Region. Do not interpret Yangikhayot's pre-2021 zeros as zero population or calculate ordinary 2020-2021 district growth.,246,https://siat.stat.uz/data/246/?lang=en
1726283,Sergeli district,2023,162.3,162300,False,The 2021 Yangikhayot reorganization changed district and city footprints; territory also came from Tashkent Region. Do not interpret Yangikhayot's pre-2021 zeros as zero population or calculate ordinary 2020-2021 district growth.,246,https://siat.stat.uz/data/246/?lang=en
1726283,Sergeli district,2024,168.2,168200,False,The 2021 Yangikhayot reorganization changed district and city footprints; territory also came from Tashkent Region. Do not interpret Yangikhayot's pre-2021 zeros as zero population or calculate ordinary 2020-2021 district growth.,246,https://siat.stat.uz/data/246/?lang=en
1726283,Sergeli district,2025,173.2,173200,False,The 2021 Yangikhayot reorganization changed district and city footprints; territory also came from Tashkent Region. Do not interpret Yangikhayot's pre-2021 zeros as zero population or calculate ordinary 2020-2021 district growth.,246,https://siat.stat.uz/data/246/?lang=en
1726283,Sergeli district,2026,178.7,178700,False,The 2021 Yangikhayot reorganization changed district and city footprints; territory also came from Tashkent Region. Do not interpret Yangikhayot's pre-2021 zeros as zero population or calculate ordinary 2020-2021 district growth.,246,https://siat.stat.uz/data/246/?lang=en
1726287,Yakkasaray district,2015,115.0,115000,False,,246,https://siat.stat.uz/data/246/?lang=en
1726287,Yakkasaray district,2016,115.1,115100,False,,246,https://siat.stat.uz/data/246/?lang=en
1726287,Yakkasaray district,2017,115.7,115700,False,,246,https://siat.stat.uz/data/246/?lang=en
1726287,Yakkasaray district,2018,117.5,117500,False,,246,https://siat.stat.uz/data/246/?lang=en
1726287,Yakkasaray district,2019,119.1,119100,False,,246,https://siat.stat.uz/data/246/?lang=en
1726287,Yakkasaray district,2020,118.9,118900,False,,246,https://siat.stat.uz/data/246/?lang=en
1726287,Yakkasaray district,2021,121.6,121600,False,,246,https://siat.stat.uz/data/246/?lang=en
1726287,Yakkasaray district,2022,124.0,124000,False,,246,https://siat.stat.uz/data/246/?lang=en
1726287,Yakkasaray district,2023,126.9,126900,False,,246,https://siat.stat.uz/data/246/?lang=en
1726287,Yakkasaray district,2024,133.5,133500,False,,246,https://siat.stat.uz/data/246/?lang=en
1726287,Yakkasaray district,2025,139.7,139700,False,,246,https://siat.stat.uz/data/246/?lang=en
1726287,Yakkasaray district,2026,144.8,144800,False,,246,https://siat.stat.uz/data/246/?lang=en
1726290,Yashnabad district,2015,219.4,219400,False,,246,https://siat.stat.uz/data/246/?lang=en
1726290,Yashnabad district,2016,220.3,220300,False,,246,https://siat.stat.uz/data/246/?lang=en
1726290,Yashnabad district,2017,222.3,222300,False,,246,https://siat.stat.uz/data/246/?lang=en
1726290,Yashnabad district,2018,226.6,226600,False,,246,https://siat.stat.uz/data/246/?lang=en
1726290,Yashnabad district,2019,232.0,232000,False,,246,https://siat.stat.uz/data/246/?lang=en
1726290,Yashnabad district,2020,241.8,241800,False,,246,https://siat.stat.uz/data/246/?lang=en
1726290,Yashnabad district,2021,258.8,258800,False,,246,https://siat.stat.uz/data/246/?lang=en
1726290,Yashnabad district,2022,281.6,281600,False,,246,https://siat.stat.uz/data/246/?lang=en
1726290,Yashnabad district,2023,289.5,289500,False,,246,https://siat.stat.uz/data/246/?lang=en
1726290,Yashnabad district,2024,300.1,300100,False,,246,https://siat.stat.uz/data/246/?lang=en
1726290,Yashnabad district,2025,309.7,309700,False,,246,https://siat.stat.uz/data/246/?lang=en
1726290,Yashnabad district,2026,317.2,317200,False,,246,https://siat.stat.uz/data/246/?lang=en
1726292,Yangikhayot district,2015,0.0,0,False,The 2021 Yangikhayot reorganization changed district and city footprints; territory also came from Tashkent Region. Do not interpret Yangikhayot's pre-2021 zeros as zero population or calculate ordinary 2020-2021 district growth.,246,https://siat.stat.uz/data/246/?lang=en
1726292,Yangikhayot district,2016,0.0,0,False,The 2021 Yangikhayot reorganization changed district and city footprints; territory also came from Tashkent Region. Do not interpret Yangikhayot's pre-2021 zeros as zero population or calculate ordinary 2020-2021 district growth.,246,https://siat.stat.uz/data/246/?lang=en
1726292,Yangikhayot district,2017,0.0,0,False,The 2021 Yangikhayot reorganization changed district and city footprints; territory also came from Tashkent Region. Do not interpret Yangikhayot's pre-2021 zeros as zero population or calculate ordinary 2020-2021 district growth.,246,https://siat.stat.uz/data/246/?lang=en
1726292,Yangikhayot district,2018,0.0,0,False,The 2021 Yangikhayot reorganization changed district and city footprints; territory also came from Tashkent Region. Do not interpret Yangikhayot's pre-2021 zeros as zero population or calculate ordinary 2020-2021 district growth.,246,https://siat.stat.uz/data/246/?lang=en
1726292,Yangikhayot district,2019,0.0,0,False,The 2021 Yangikhayot reorganization changed district and city footprints; territory also came from Tashkent Region. Do not interpret Yangikhayot's pre-2021 zeros as zero population or calculate ordinary 2020-2021 district growth.,246,https://siat.stat.uz/data/246/?lang=en
1726292,Yangikhayot district,2020,0.0,0,False,The 2021 Yangikhayot reorganization changed district and city footprints; territory also came from Tashkent Region. Do not interpret Yangikhayot's pre-2021 zeros as zero population or calculate ordinary 2020-2021 district growth.,246,https://siat.stat.uz/data/246/?lang=en
1726292,Yangikhayot district,2021,132.8,132800,True,The 2021 Yangikhayot reorganization changed district and city footprints; territory also came from Tashkent Region. Do not interpret Yangikhayot's pre-2021 zeros as zero population or calculate ordinary 2020-2021 district growth.,246,https://siat.stat.uz/data/246/?lang=en
1726292,Yangikhayot district,2022,160.4,160400,False,The 2021 Yangikhayot reorganization changed district and city footprints; territory also came from Tashkent Region. Do not interpret Yangikhayot's pre-2021 zeros as zero population or calculate ordinary 2020-2021 district growth.,246,https://siat.stat.uz/data/246/?lang=en
1726292,Yangikhayot district,2023,161.1,161100,False,The 2021 Yangikhayot reorganization changed district and city footprints; territory also came from Tashkent Region. Do not interpret Yangikhayot's pre-2021 zeros as zero population or calculate ordinary 2020-2021 district growth.,246,https://siat.stat.uz/data/246/?lang=en
1726292,Yangikhayot district,2024,174.7,174700,False,The 2021 Yangikhayot reorganization changed district and city footprints; territory also came from Tashkent Region. Do not interpret Yangikhayot's pre-2021 zeros as zero population or calculate ordinary 2020-2021 district growth.,246,https://siat.stat.uz/data/246/?lang=en
1726292,Yangikhayot district,2025,188.2,188200,False,The 2021 Yangikhayot reorganization changed district and city footprints; territory also came from Tashkent Region. Do not interpret Yangikhayot's pre-2021 zeros as zero population or calculate ordinary 2020-2021 district growth.,246,https://siat.stat.uz/data/246/?lang=en
1726292,Yangikhayot district,2026,200.5,200500,False,The 2021 Yangikhayot reorganization changed district and city footprints; territory also came from Tashkent Region. Do not interpret Yangikhayot's pre-2021 zeros as zero population or calculate ordinary 2020-2021 district growth.,246,https://siat.stat.uz/data/246/?lang=en
1726294,Chilanzar district,2015,232.1,232100,False,,246,https://siat.stat.uz/data/246/?lang=en
1726294,Chilanzar district,2016,233.3,233300,False,,246,https://siat.stat.uz/data/246/?lang=en
1726294,Chilanzar district,2017,236.0,236000,False,,246,https://siat.stat.uz/data/246/?lang=en
1726294,Chilanzar district,2018,239.5,239500,False,,246,https://siat.stat.uz/data/246/?lang=en
1726294,Chilanzar district,2019,243.6,243600,False,,246,https://siat.stat.uz/data/246/?lang=en
1726294,Chilanzar district,2020,248.1,248100,False,,246,https://siat.stat.uz/data/246/?lang=en
1726294,Chilanzar district,2021,260.7,260700,False,,246,https://siat.stat.uz/data/246/?lang=en
1726294,Chilanzar district,2022,266.6,266600,False,,246,https://siat.stat.uz/data/246/?lang=en
1726294,Chilanzar district,2023,272.0,272000,False,,246,https://siat.stat.uz/data/246/?lang=en
1726294,Chilanzar district,2024,275.1,275100,False,,246,https://siat.stat.uz/data/246/?lang=en
1726294,Chilanzar district,2025,276.7,276700,False,,246,https://siat.stat.uz/data/246/?lang=en
1726294,Chilanzar district,2026,277.5,277500,False,,246,https://siat.stat.uz/data/246/?lang=en
