station_id,station_name_current,station_name_historical,line,opening_date,opening_year,date_precision,opening_batch_id,source_url,source_provider,source_quality,notes,current_osm_id,district_name,longitude,latitude
tm_circle_08,Matonat,,Circle line,2023-04-25,2023,day,circle_2023_04_25,https://railway.uz/uz/informatsionnaya_sluzhba/novosti/33727/,Toshkent metropoliteni / O‘zbekiston temir yo‘llari,primary,Official record states the five-station Qoʻyliq–Quruvchilar opening.,10537931294,Mirabad district,69.30832290,41.24447130
tm_circle_09,Qiyot,,Circle line,2023-04-25,2023,day,circle_2023_04_25,https://railway.uz/uz/informatsionnaya_sluzhba/novosti/33727/,Toshkent metropoliteni / O‘zbekiston temir yo‘llari,primary,Official record states the five-station Qoʻyliq–Quruvchilar opening.,8962013669,Sergeli district,69.30024510,41.24442320
tm_circle_10,Tolarik,,Circle line,2023-04-25,2023,day,circle_2023_04_25,https://railway.uz/uz/informatsionnaya_sluzhba/novosti/33727/,Toshkent metropoliteni / O‘zbekiston temir yo‘llari,primary,Official record states the five-station Qoʻyliq–Quruvchilar opening.,10538303447,Sergeli district,69.28495680,41.24451390
tm_circle_11,Xonobod,,Circle line,2023-04-25,2023,day,circle_2023_04_25,https://railway.uz/uz/informatsionnaya_sluzhba/novosti/33727/,Toshkent metropoliteni / O‘zbekiston temir yo‘llari,primary,Official record states the five-station Qoʻyliq–Quruvchilar opening.,10050570440,Sergeli district,69.27016770,41.22969000
tm_circle_12,Quruvchilar,,Circle line,2023-04-25,2023,day,circle_2023_04_25,https://railway.uz/uz/informatsionnaya_sluzhba/novosti/33727/,Toshkent metropoliteni / O‘zbekiston temir yo‘llari,primary,Official record states the five-station Qoʻyliq–Quruvchilar opening.,9209214732,Sergeli district,69.26102200,41.22180270
tm_circle_13,Turon,,Circle line,2024-03-11,2024,day,circle_2024_03_11,https://www.dkm.gov.uz/uz/11-martdan-toskent-metrosining-angi-2-ta-bekati-julovcilar-ucun-ocildi,Government of Uzbekistan metro-construction directorate,primary,Official notice distinguishes passenger opening from earlier test running.,11218653779,Yangikhayot district,69.23415400,41.21068130
tm_circle_14,Qipchok,,Circle line,2024-03-11,2024,day,circle_2024_03_11,https://www.dkm.gov.uz/uz/11-martdan-toskent-metrosining-angi-2-ta-bekati-julovcilar-ucun-ocildi,Government of Uzbekistan metro-construction directorate,primary,Official notice distinguishes passenger opening from earlier test running.,11218653778,Yangikhayot district,69.22141120,41.20542290
tm_ozbekiston_01,Do'stlik,,Oʻzbekiston line,1987-11,1987,month,ozbekiston_1987_11,https://www.dkm.gov.uz/uz/toskent-metropoliteni,Government of Uzbekistan metro-construction directorate,primary,The official source states November 1987 but not a day.,1777856012,Yashnabad district,69.32224450,41.29364010
tm_ozbekiston_02,Mashinasozlar,,Oʻzbekiston line,1987-11,1987,month,ozbekiston_1987_11,https://www.dkm.gov.uz/uz/toskent-metropoliteni,Government of Uzbekistan metro-construction directorate,primary,The official source states November 1987 but not a day.,1765133546,Yashnabad district,69.30512760,41.29898470
tm_ozbekiston_03,Toshkent,,Oʻzbekiston line,1984-11,1984,month,ozbekiston_1984_11,https://www.dkm.gov.uz/uz/toskent-metropoliteni,Government of Uzbekistan metro-construction directorate,primary,The official source states November 1984 but not a day.,1582352956,Mirabad district,69.28772120,41.29328860
tm_ozbekiston_04,Oybek,,Oʻzbekiston line,1984-11,1984,month,ozbekiston_1984_11,https://www.dkm.gov.uz/uz/toskent-metropoliteni,Government of Uzbekistan metro-construction directorate,primary,The official source states November 1984 but not a day.,1579080941,Mirabad district,69.27405010,41.29801280
tm_ozbekiston_05,Kosmonavtlar,,Oʻzbekiston line,1984-11,1984,month,ozbekiston_1984_11,https://www.dkm.gov.uz/uz/toskent-metropoliteni,Government of Uzbekistan metro-construction directorate,primary,The official source states November 1984 but not a day.,1775892797,Yakkasaray district,69.26472070,41.30516180
tm_ozbekiston_06,Oʻzbekiston,,Oʻzbekiston line,1984-11,1984,month,ozbekiston_1984_11,https://www.dkm.gov.uz/uz/toskent-metropoliteni,Government of Uzbekistan metro-construction directorate,primary,The official source states November 1984 but not a day.,1777744035,Shaykhantakhur district,69.25340570,41.31194370
tm_ozbekiston_07,Alisher Navoiy,,Oʻzbekiston line,1984-11,1984,month,ozbekiston_1984_11,https://www.dkm.gov.uz/uz/toskent-metropoliteni,Government of Uzbekistan metro-construction directorate,primary,The official source states November 1984 but not a day.,1777740153,Shaykhantakhur district,69.25429730,41.31892180
tm_ozbekiston_08,G'afur G'ulom,,Oʻzbekiston line,1989-11,1989,month,ozbekiston_1989_11,https://www.dkm.gov.uz/uz/toskent-metropoliteni,Government of Uzbekistan metro-construction directorate,primary,The official source states November 1989 but not a day.,1539317100,Almazar district,69.24583420,41.32788280
tm_ozbekiston_09,Chorsu,,Oʻzbekiston line,1989-11,1989,month,ozbekiston_1989_11,https://www.dkm.gov.uz/uz/toskent-metropoliteni,Government of Uzbekistan metro-construction directorate,primary,The official source states November 1989 but not a day.,1577932485,Shaykhantakhur district,69.23681520,41.32586490
tm_ozbekiston_10,Tinchlik,,Oʻzbekiston line,1991-04-30,1991,day,ozbekiston_1991_04_30,https://www.dkm.gov.uz/uz/toskent-metropoliteni,Government of Uzbekistan metro-construction directorate,primary,Official history identifies the two-station fourth-stage opening.,1770328496,Shaykhantakhur district,69.21911550,41.33230140
tm_ozbekiston_11,Beruniy,,Oʻzbekiston line,1991-04-30,1991,day,ozbekiston_1991_04_30,https://www.dkm.gov.uz/uz/toskent-metropoliteni,Government of Uzbekistan metro-construction directorate,primary,Official history identifies the two-station fourth-stage opening.,1631211328,Shaykhantakhur district,69.20620460,41.34461520
tm_sergeli_01,Choshtepa,,Sergeli line,2020-12-26,2020,day,sergeli_2020_12_26,https://president.uz/oz/4044,President of the Republic of Uzbekistan,primary,Official launch record covers the five-station Sergeli line.,10538244112,Yangikhayot district,69.19603450,41.23824960
tm_sergeli_02,O‘zgarish,,Sergeli line,2020-12-26,2020,day,sergeli_2020_12_26,https://president.uz/oz/4044,President of the Republic of Uzbekistan,primary,Official launch record covers the five-station Sergeli line.,10538244113,Yangikhayot district,69.20397140,41.22733640
tm_sergeli_03,Sergeli,,Sergeli line,2020-12-26,2020,day,sergeli_2020_12_26,https://president.uz/oz/4044,President of the Republic of Uzbekistan,primary,Official launch record covers the five-station Sergeli line.,10541839548,Yangikhayot district,69.20908650,41.22022830
tm_sergeli_04,Yangihayot,,Sergeli line,2020-12-26,2020,day,sergeli_2020_12_26,https://president.uz/oz/4044,President of the Republic of Uzbekistan,primary,Official launch record covers the five-station Sergeli line.,10538244119,Yangikhayot district,69.21401500,41.21350990
tm_sergeli_05,Chinor,,Sergeli line,2020-12-26,2020,day,sergeli_2020_12_26,https://president.uz/oz/4044,President of the Republic of Uzbekistan,primary,Official launch record covers the five-station Sergeli line.,10538244120,Yangikhayot district,69.21895750,41.20669650
tm_yunusobod_01,Mingoʻrik,,Yunusobod line,2001-10-26,2001,day,yunusobod_2001_10_26,https://www.dkm.gov.uz/uz/toskent-metropoliteni,Government of Uzbekistan metro-construction directorate,primary,Official history identifies the six-station first-stage opening.,1579080943,Mirabad district,69.27441020,41.29966100
tm_yunusobod_02,Yunus Rajabiy,,Yunusobod line,2001-10-26,2001,day,yunusobod_2001_10_26,https://www.dkm.gov.uz/uz/toskent-metropoliteni,Government of Uzbekistan metro-construction directorate,primary,Official history identifies the six-station first-stage opening.,1777051512,Mirzo Ulugbek district,69.28350770,41.31388710
tm_yunusobod_03,Abdulla Qodiriy,,Yunusobod line,2001-10-26,2001,day,yunusobod_2001_10_26,https://www.dkm.gov.uz/uz/toskent-metropoliteni,Government of Uzbekistan metro-construction directorate,primary,Official history identifies the six-station first-stage opening.,1772575475,Yunusabad district,69.28175900,41.32019240
tm_yunusobod_04,Minor,,Yunusobod line,2001-10-26,2001,day,yunusobod_2001_10_26,https://www.dkm.gov.uz/uz/toskent-metropoliteni,Government of Uzbekistan metro-construction directorate,primary,Official history identifies the six-station first-stage opening.,1772595534,Yunusabad district,69.28341630,41.32689230
tm_yunusobod_05,Bodomzor,,Yunusobod line,2001-10-26,2001,day,yunusobod_2001_10_26,https://www.dkm.gov.uz/uz/toskent-metropoliteni,Government of Uzbekistan metro-construction directorate,primary,Official history identifies the six-station first-stage opening.,1775804030,Yunusabad district,69.28456970,41.33717010
tm_yunusobod_06,Shahriston,Habib Abdullayev,Yunusobod line,2001-10-26,2001,day,yunusobod_2001_10_26,https://www.dkm.gov.uz/uz/toskent-metropoliteni,Government of Uzbekistan metro-construction directorate,primary,Official history identifies the six-station first-stage opening.,1633822600,Yunusabad district,69.28810690,41.35311850
tm_yunusobod_07,Yunusobod,,Yunusobod line,2020-08-29,2020,day,yunusobod_2020_08_29,https://railway.uz/uz/informatsionnaya_sluzhba/novosti/19844/,Toshkent metropoliteni / O‘zbekiston temir yo‘llari,primary,Official passenger notice states service began at 16:30.,6761195240,Yunusabad district,69.29170810,41.36634890
tm_yunusobod_08,Turkiston,,Yunusobod line,2020-08-29,2020,day,yunusobod_2020_08_29,https://railway.uz/uz/informatsionnaya_sluzhba/novosti/19844/,Toshkent metropoliteni / O‘zbekiston temir yo‘llari,primary,Official passenger notice states service began at 16:30.,7861940928,Yunusabad district,69.29601510,41.37752170
